Generated entries:              684
Generated non-shiny entries:    298
Generated shiny entries:        386

Total referenced incbin size:   1,317,657
Non-shiny referenced size:      359,949
Shiny referenced size:          957,708

Average non-shiny entry size:   1,207
Average shiny entry size:       2,481

Largest generated entries:
  16,645  0378 shiny   slots=13 data/kao_generated/kas378.inc
  16,419  0383 shiny   slots=13 data/kao_generated/kas383.inc
  16,369  0384 shiny   slots=13 data/kao_generated/kas384.inc
  16,350  0379 shiny   slots=13 data/kao_generated/kas379.inc
  16,225  0245 shiny   slots=13 data/kao_generated/kas245.inc
  16,225  0250 shiny   slots=13 data/kao_generated/kas250.inc
  16,189  0377 shiny   slots=13 data/kao_generated/kas377.inc
  16,081  0244 shiny   slots=13 data/kao_generated/kas244.inc
  16,050  0150 shiny   slots=13 data/kao_generated/kas150.inc
  16,041  0052 shiny   slots=13 data/kao_generated/kas052.inc
  15,969  0243 shiny   slots=13 data/kao_generated/kas243.inc
  15,952  0001 shiny   slots=13 data/kao_generated/kas001.inc
  15,931  0104 shiny   slots=13 data/kao_generated/kas104.inc
  15,871  0158 shiny   slots=13 data/kao_generated/kas158.inc
  15,697  0300 shiny   slots=13 data/kao_generated/kas300.inc
  15,671  0251 shiny   slots=13 data/kao_generated/kas251.inc
  15,634  0381 shiny   slots=13 data/kao_generated/kas381.inc
  15,597  0249 shiny   slots=13 data/kao_generated/kas249.inc
  15,587  0151 shiny   slots=13 data/kao_generated/kas151.inc
  15,517  0252 shiny   slots=13 data/kao_generated/kas252.inc
  15,512  0133 shiny   slots=13 data/kao_generated/kas133.inc
  15,464  0255 shiny   slots=13 data/kao_generated/kas255.inc
  15,441  0155 shiny   slots=13 data/kao_generated/kas155.inc
  15,429  0385 shiny   slots=13 data/kao_generated/kas385.inc
  15,402  0258 shiny   slots=13 data/kao_generated/kas258.inc
  15,398  0382 shiny   slots=13 data/kao_generated/kas382.inc
  15,327  0066 shiny   slots=13 data/kao_generated/kas066.inc
  15,288  0386 shiny   slots=13 data/kao_generated/kas386.inc
  15,268  0054 shiny   slots=13 data/kao_generated/kas054.inc
  15,145  0025 shiny   slots=13 data/kao_generated/kas025.inc
  15,142  0152 shiny   slots=13 data/kao_generated/kas152.inc
  15,026  0004 shiny   slots=13 data/kao_generated/kas004.inc
  14,977  0380 shiny   slots=13 data/kao_generated/kas380.inc
  14,974  0007 shiny   slots=13 data/kao_generated/kas007.inc
   1,325  0091 normal  slots=13 data/kao_generated/kao091.inc
   1,324  0135 normal  slots=13 data/kao_generated/kao135.inc
   1,324  0135 shiny   slots=13 data/kao_generated/kas135.inc
   1,322  0091 shiny   slots=13 data/kao_generated/kas091.inc
   1,321  0362 shiny   slots=13 data/kao_generated/kas362.inc
   1,312  0362 normal  slots=13 data/kao_generated/kao362.inc
   1,311  0114 normal  slots=13 data/kao_generated/kao114.inc
   1,311  0114 shiny   slots=13 data/kao_generated/kas114.inc
   1,306  0049 normal  slots=13 data/kao_generated/kao049.inc
   1,306  0049 shiny   slots=13 data/kao_generated/kas049.inc
   1,305  0134 shiny   slots=13 data/kao_generated/kas134.inc
   1,304  0134 normal  slots=13 data/kao_generated/kao134.inc
   1,303  0111 normal  slots=13 data/kao_generated/kao111.inc
   1,303  0111 shiny   slots=13 data/kao_generated/kas111.inc
   1,299  0027 normal  slots=13 data/kao_generated/kao027.inc
   1,299  0027 shiny   slots=13 data/kao_generated/kas027.inc
   1,298  0130 shiny   slots=13 data/kao_generated/kas130.inc
   1,294  0064 normal  slots=13 data/kao_generated/kao064.inc
   1,294  0125 normal  slots=13 data/kao_generated/kao125.inc
   1,294  0064 shiny   slots=13 data/kao_generated/kas064.inc
   1,294  0125 shiny   slots=13 data/kao_generated/kas125.inc
   1,293  0117 normal  slots=13 data/kao_generated/kao117.inc
   1,293  0139 shiny   slots=13 data/kao_generated/kas139.inc
   1,291  0130 normal  slots=13 data/kao_generated/kao130.inc
   1,291  0139 normal  slots=13 data/kao_generated/kao139.inc
   1,288  0068 normal  slots=13 data/kao_generated/kao068.inc
   1,288  0117 shiny   slots=13 data/kao_generated/kas117.inc
   1,285  0030 normal  slots=13 data/kao_generated/kao030.inc
   1,285  0075 normal  slots=13 data/kao_generated/kao075.inc
   1,284  0182 shiny   slots=13 data/kao_generated/kas182.inc
   1,282  0099 normal  slots=13 data/kao_generated/kao099.inc
   1,282  0192 normal  slots=13 data/kao_generated/kao192.inc
   1,282  0099 shiny   slots=13 data/kao_generated/kas099.inc
   1,282  0192 shiny   slots=13 data/kao_generated/kas192.inc
   1,281  0073 shiny   slots=13 data/kao_generated/kas073.inc
   1,279  0033 normal  slots=13 data/kao_generated/kao033.inc
   1,279  0123 normal  slots=13 data/kao_generated/kao123.inc
   1,279  0338 normal  slots=13 data/kao_generated/kao338.inc
   1,279  0033 shiny   slots=13 data/kao_generated/kas033.inc
   1,279  0210 shiny   slots=13 data/kao_generated/kas210.inc
   1,278  0059 normal  slots=13 data/kao_generated/kao059.inc
